hotel_name,location,price,room_type,beds,rating,rating_title,number_of_ratings,Size_m2
رواح للوحدات السكنية,Taif,190,One-Bedroom Apartment,2,7.5,Good,180,54
Aloft Riyadh Hotel,Riyadh,475,"Breezy Room, Guest room, 1 King",1,8.2,Good,2947,32
Nourth House ApartHotel,Al Qurayyat,200,Budget Twin Room,2,7.5,Good,264,35
Dyar Al Hamra Hotel,Jeddah,340,Junior Suite King,1,7.7,Good,3923,28
Courtyard by Marriott Riyadh Northern Ring Road,Riyadh,525,"Standard, Guest room, 1 King",1,8.1,Good,1032,30
جراند بلو للشقق الفندقية,Dammam,207,One-Bedroom Apartment,1,7.3,Good,114,29
Golden Bujari Al-Dhahran - Hotel,Al Khobar,490,Deluxe Twin Room,2,8.4,Good,2315,40
Best Western Plus Buraidah,Buraydah,330,Grand Non-Smoking 2 Twin Beds Room,2,8.0,Good,1552,38
Al Hayatt Plus,Riyadh,210,Economy Quadruple Room,4,6.9,Very good,2300,100
Courtyard by Marriott Riyadh Olaya,Riyadh,550,"Guest room, 2 Double",1,8.3,Good,2859,30
Orchida Turaif Hotel 2,Ţurayf,125,Single Room with Bathroom,1,7.6,Good,32,28
Rose Park,Riyadh,600,Standard Apartment,2,8.2,Good,139,40
Madinah Mövenpick Hotel,Madinah,626,One-Bedroom Suite,1,7.6,Good,3635,29
Grand Hyatt Alkhobar Hotel and Residences,Al Khobar,750,King Room,1,8.7,Fabulous,2257,34
Jabal Omar Marriott Hotel Makkah,Makkah,300,Superior Double Partial Haram View,2,7.8,Good,2671,55
Courtyard Riyadh by Marriott Diplomatic Quarter,Riyadh,490,"Guest room, 2 Double",1,8.1,Good,2443,30
Gulanar Hotel,Unayzah,350,Deluxe King Room,1,8.5,Good,1343,30
Le Meridien Riyadh,Riyadh,800,"Deluxe Room, Guest room, 2 Twin/Single Bed(s)",2,8.2,Good,764,33
Novotel Riyadh Al Anoud,Riyadh,360,Superior Queen Room,1,7.2,Good,2943,28
Centro Waha by Rotana,Riyadh,450,Standard Twin Room,2,7.5,Good,6614,35
Novotel Yanbu Albahr,Yanbu,480,Superior Double Room,1,8.0,Good,2591,33
Mövenpick Hotel City Star Jeddah,Jeddah,440,Superior King Room,1,8.5,Good,1614,30
Four Points by Sheraton Makkah Al Naseem,Makkah,149,King Room,1,8.5,Good,13389,29
أجنحة سالين - للوحدات السكنية المفروشة,Hail,99,Double Room with Private Bathroom,1,5.9,Very good,53,35
رمال الجزيره,Makkah,170,One-Bedroom Apartment,1,6.3,Very good,153,28
MENA AL DIYAR 114,Riyadh,140,Studio,1,6.3,Very good,292,40
Sharurah Plaza Hotel,Sharurah,200,One-Bedroom Apartment,2,8.7,Fabulous,294,46
Coral Al Ahsa Hotel,Al Khars,350,Standard Double Room,2,7.1,Good,1108,30
Ladera Hotel Tanomah,Tanomah,300,Studio,1,7.2,Good,163,30
القصر المميز خميس مشيط,Khamis Mushayt,134,Deluxe Double Studio,1,7.9,Good,281,27
ديوانية المسافر,Az Zulfi,79,One-Bedroom Apartment,2,8.0,Good,7,40
Al Jahwah hotel by AL BALAD INN,Al Namas,250,Junior Suite,1,8.1,Good,399,38
Al Andlus Palace 2 Hotel Kurban فندق قصر الاندلس 2 قربان,Makkah,180,Large Double Room,2,7.9,Good,58,43
Qemam Al Safwah Grand Hotel,Rafha,135,Double Room,1,5.9,Very good,19,30
Rabigh Park Hotel,Rabigh,252,Standard Double Room,1,8.0,Good,530,29
"Bay la sun , Luxury apartment with nice view",King Abdullah Economic City,950,Deluxe Family Suite with City View,2,8.5,Good,99,33
منتجع جيدا بارك,Riyadh,400,Cottage with Garden View,3,8.7,Fabulous,361,70
Kyona Purple -Al Qurayat,Jeddah,130,Studio,2,8.4,Good,79,50
وحدات النخيل,Al Rass,80,One-Bedroom Apartment,1,7.7,Good,224,28
Milan Hotel,Makkah,285,One-Bedroom Apartment,1,7.6,Good,15,29
Al Rawda Al Aqeeq Hotel,Madinah,130,Standard Twin Room,2,7.2,Good,3508,35
"Naseem ,S Country نزل النسيم الريفيHouse",Al Ula,500,Quadruple Room with Shared Bathroom,4,8.1,Good,285,70
Jawharat Al Amaken Hotel,Tayma,230,One-Bedroom Apartment,1,8.7,Fabulous,160,30
Crystal Blue Hotel,Rabigh,350,Deluxe Studio,1,7.1,Good,141,38
manzel aram 105,Riyadh,108,One-Bedroom Apartment,1,5.7,Very good,702,34
فندق جولدن العرين,Abha,150,Budget Double Room,1,9.9,Exceptional,127,30
فندق العروبة,Riyadh,89,King Studio,1,6.1,Very good,2409,28
Faifa Hotel,Fayfa,375,Double Room,1,7.0,Good,302,36
العييري للوحدات المفروشة الباحة3,Al Baha,110,Double Room with Private Bathroom,2,3.7,Very good,72,40
Anwar Al Zahraa Hotel,Madinah,100,Double Room,2,7.3,Good,260,45
OYO 242 Al Ahlam Resort Al Leith,Al Lith,387,Standard Studio Double,1,6.5,Very good,333,30
فندق سوار,Madinah,145,Small Twin Room,2,8.6,Fabulous,22,42
Golden Dakhil,Madinah,100,Economy Double Room,1,7.3,Good,420,30
الوادي للوحدات السكنية,Riyadh,200,Deluxe Twin Room,2,8.5,Good,149,34
عماره السيف,Rabigh,122,One-Bedroom Apartment,3,7.0,Good,76,50
"Park Inn by Radisson, Riyadh",Riyadh,352,Standard Room,1,8.2,Good,1373,30
