hotel_name,location,price,room_type,beds,rating,rating_title,number_of_ratings,per_night
رواح للوحدات السكنية,Taif,190,One-Bedroom Apartment,2,7.5,Good,180,1
Aloft Riyadh Hotel,Riyadh,475,"Breezy Room, Guest room, 1 King",1,8.2,Very good,2947,1
Nourth House ApartHotel,Al Qurayyat,200,Budget Twin Room,2,7.5,Good,264,1
Dyar Al Hamra Hotel,Jeddah,340,Junior Suite King,1,7.7,Good,3923,1
Courtyard by Marriott Riyadh Northern Ring Road,Riyadh,525,"Standard, Guest room, 1 King",1,8.1,Very good,1032,1
جراند بلو للشقق الفندقية,Dammam,207,One-Bedroom Apartment,1,7.3,Good,114,1
Golden Bujari Al-Dhahran - Hotel,Al Khobar,490,Deluxe Twin Room,2,8.4,Very good,2315,1
Best Western Plus Buraidah,Buraydah,330,Grand Non-Smoking 2 Twin Beds Room,2,8.0,Very good,1552,1
Al Hayatt Plus,Riyadh,210,Economy Quadruple Room,4,6.9,Review score,2300,1
Courtyard by Marriott Riyadh Olaya,Riyadh,550,"Guest room, 2 Double",1,8.3,Very good,2859,1
Orchida Turaif Hotel 2,Ţurayf,125,Single Room with Bathroom,1,7.6,Good,32,1
Rose Park,Riyadh,600,Standard Apartment,2,8.2,Very good,139,1
Madinah Mövenpick Hotel,Madinah,626,One-Bedroom Suite,1,7.6,Good,3635,1
Grand Hyatt Alkhobar Hotel and Residences,Al Khobar,750,King Room,1,8.7,Fabulous,2257,1
Jabal Omar Marriott Hotel Makkah,Makkah,300,Superior Double Partial Haram View,2,7.8,Good,2671,1
Courtyard Riyadh by Marriott Diplomatic Quarter,Riyadh,490,"Guest room, 2 Double",1,8.1,Very good,2443,1
Gulanar Hotel,Unayzah,350,Deluxe King Room,1,8.5,Very good,1343,1
Le Meridien Riyadh,Riyadh,800,"Deluxe Room, Guest room, 2 Twin/Single Bed(s)",2,8.2,Very good,764,1
Novotel Riyadh Al Anoud,Riyadh,360,Superior Queen Room,1,7.2,Good,2943,1
Centro Waha by Rotana,Riyadh,450,Standard Twin Room,2,7.5,Good,6614,1
Novotel Yanbu Albahr,Yanbu,480,Superior Double Room,1,8.0,Very good,2591,1
